post_id,user_id,college_id,content_type,post_description,media_name,created_at,updated_at
48,316,102,IMAGE,Campus life moments,placement.jpg,2025-11-15 16:12:13.187290,2026-01-26 16:12:13.194961
49,258,101,TEXT,Hackathon highlights,workshop.jpg,2025-09-08 16:12:13.187293,2026-01-20 16:12:13.194963
50,419,102,IMAGE,Cultural fest memories,,2025-12-15 16:12:13.187295,2026-01-22 16:12:13.194965
51,67,104,TEXT,Campus life moments,placement.jpg,2025-10-31 16:12:13.187297,2026-01-13 16:12:13.194967
52,251,102,TEXT,Hackathon highlights,,2025-12-31 16:12:13.187300,2026-01-01 16:12:13.194970
53,405,103,VIDEO,Placement drive updates,,2025-11-04 16:12:13.187303,2026-01-20 16:12:13.194972
54,222,104,VIDEO,Great learning experience,fest.jpg,2025-11-28 16:12:13.187306,2026-01-02 16:12:13.194975
55,370,101,VIDEO,Workshop on AI and Data Science,hackathon.jpg,2025-11-12 16:12:13.187308,2025-12-31 16:12:13.194977
56,15,101,TEXT,Hackathon highlights,,2026-01-03 16:12:13.187311,2026-01-07 16:12:13.194979
57,343,101,VIDEO,Great learning experience,hackathon.jpg,2025-10-30 16:12:13.187313,2026-01-13 16:12:13.194982
58,429,102,TEXT,Hackathon highlights,placement.jpg,2025-12-20 16:12:13.187316,2026-01-06 16:12:13.194984
59,203,103,TEXT,Workshop on AI and Data Science,,2025-11-06 16:12:13.187318,2025-12-31 16:12:13.194987
60,89,103,TEXT,Great learning experience,placement.jpg,2025-08-07 16:12:13.187320,2026-01-16 16:12:13.194989
61,450,104,IMAGE,Workshop on AI and Data Science,campus.jpg,2025-12-31 16:12:13.187323,2026-01-15 16:12:13.194991
62,184,104,IMAGE,Placement drive updates,fest.jpg,2025-12-05 16:12:13.187325,2026-01-15 16:12:13.194994
63,116,103,IMAGE,Workshop on AI and Data Science,fest.jpg,2025-09-29 16:12:13.187327,2026-01-28 16:12:13.194996
64,273,101,TEXT,Cultural fest memories,fest.jpg,2025-08-14 16:12:13.187334,2026-01-21 16:12:13.194998
65,465,104,VIDEO,Cultural fest memories,,2026-01-03 16:12:13.187336,2026-01-23 16:12:13.195001
66,417,104,TEXT,Placement drive updates,hackathon.jpg,2025-08-17 16:12:13.187340,2026-01-13 16:12:13.195004
67,93,101,TEXT,Hackathon highlights,,2025-08-14 16:12:13.187342,2026-01-17 16:12:13.195007
68,480,103,TEXT,Cultural fest memories,hackathon.jpg,2025-09-16 16:12:13.187345,2026-01-08 16:12:13.195009
69,315,102,TEXT,Great learning experience,campus.jpg,2026-01-24 16:12:13.187347,2026-01-11 16:12:13.195011
70,126,102,TEXT,Campus life moments,placement.jpg,2025-12-25 16:12:13.187349,2026-01-05 16:12:13.195014
71,377,103,VIDEO,Hackathon highlights,fest.jpg,2025-08-28 16:12:13.187352,2026-01-17 16:12:13.195016
72,203,104,VIDEO,Placement drive updates,hackathon.jpg,2025-11-04 16:12:13.187354,2026-01-09 16:12:13.195018
73,163,104,TEXT,Great learning experience,,2025-08-03 16:12:13.187356,2026-01-15 16:12:13.195021
74,99,101,TEXT,Campus life moments,placement.jpg,2025-12-26 16:12:13.187358,2026-01-24 16:12:13.195023
75,469,104,IMAGE,Workshop on AI and Data Science,,2025-11-27 16:12:13.187361,2026-01-09 16:12:13.195025
76,300,104,VIDEO,Cultural fest memories,hackathon.jpg,2025-09-07 16:12:13.187363,2026-01-05 16:12:13.195028
77,388,103,IMAGE,Cultural fest memories,,2025-10-31 16:12:13.187365,2026-01-28 16:12:13.195030
78,500,104,IMAGE,Hackathon highlights,fest.jpg,2025-09-09 16:12:13.187369,2026-01-20 16:12:13.195033
79,311,102,TEXT,Workshop on AI and Data Science,workshop.jpg,2025-12-06 16:12:13.187372,2025-12-31 16:12:13.195036
80,28,104,TEXT,Placement drive updates,workshop.jpg,2025-12-14 16:12:13.187374,2026-01-10 16:12:13.195038
81,106,104,VIDEO,Cultural fest memories,,2026-01-08 16:12:13.187377,2026-01-28 16:12:13.195040
82,236,104,TEXT,Workshop on AI and Data Science,hackathon.jpg,2025-12-13 16:12:13.187379,2026-01-27 16:12:13.195043
83,328,104,VIDEO,Campus life moments,,2025-10-14 16:12:13.187381,2026-01-28 16:12:13.195045
84,401,103,VIDEO,Hackathon highlights,hackathon.jpg,2025-11-05 16:12:13.187383,2026-01-04 16:12:13.195047
85,285,104,IMAGE,Cultural fest memories,campus.jpg,2026-01-20 16:12:13.187386,2026-01-07 16:12:13.195049
86,429,104,VIDEO,Workshop on AI and Data Science,placement.jpg,2025-08-04 16:12:13.187388,2026-01-24 16:12:13.195052
87,382,102,TEXT,Placement drive updates,workshop.jpg,2026-01-22 16:12:13.187390,2026-01-20 16:12:13.195054
88,454,102,TEXT,Campus life moments,,2025-11-18 16:12:13.187393,2026-01-22 16:12:13.195056
89,497,104,IMAGE,Campus life moments,,2025-10-03 16:12:13.187395,2026-01-03 16:12:13.195058
90,417,102,VIDEO,Workshop on AI and Data Science,,2025-11-25 16:12:13.187397,2026-01-21 16:12:13.195061
91,410,104,VIDEO,Workshop on AI and Data Science,,2025-08-09 16:12:13.187400,2026-01-16 16:12:13.195063
92,169,103,TEXT,Placement drive updates,hackathon.jpg,2025-10-26 16:12:13.187402,2026-01-04 16:12:13.195065
93,347,104,IMAGE,Hackathon highlights,,2026-01-19 16:12:13.187404,2026-01-28 16:12:13.195067
94,372,102,VIDEO,Hackathon highlights,,2025-10-26 16:12:13.187407,2026-01-24 16:12:13.195071
95,35,103,IMAGE,Placement drive updates,workshop.jpg,2025-11-28 16:12:13.187410,2026-01-11 16:12:13.195073
96,62,101,IMAGE,Workshop on AI and Data Science,fest.jpg,2025-11-03 16:12:13.187413,2026-01-01 16:12:13.195075
97,85,104,IMAGE,Campus life moments,workshop.jpg,2025-11-01 16:12:13.187415,2026-01-17 16:12:13.195077
98,5,104,TEXT,Campus life moments,campus.jpg,2025-11-12 16:12:13.187417,2026-01-20 16:12:13.195080
99,37,104,VIDEO,Placement drive updates,placement.jpg,2025-10-02 16:12:13.187420,2026-01-18 16:12:13.195082
100,253,102,VIDEO,Workshop on AI and Data Science,fest.jpg,2025-11-11 16:12:13.187422,2026-01-17 16:12:13.195084
101,275,104,VIDEO,Workshop on AI and Data Science,workshop.jpg,2025-11-08 16:12:13.187425,2026-01-28 16:12:13.195086
102,311,102,TEXT,Workshop on AI and Data Science,workshop.jpg,2026-01-07 16:12:13.187427,2025-12-31 16:12:13.195089
103,327,103,TEXT,Great learning experience,placement.jpg,2025-12-08 16:12:13.187429,2026-01-20 16:12:13.195091
104,150,104,IMAGE,Great learning experience,placement.jpg,2025-12-05 16:12:13.187432,2026-01-03 16:12:13.195094
105,298,102,VIDEO,Campus life moments,hackathon.jpg,2025-12-31 16:12:13.187434,2026-01-13 16:12:13.195096
106,66,104,TEXT,Cultural fest memories,,2026-01-12 16:12:13.187437,2026-01-16 16:12:13.195098
107,34,101,IMAGE,Great learning experience,fest.jpg,2025-12-23 16:12:13.187439,2026-01-16 16:12:13.195100
108,221,104,TEXT,Campus life moments,workshop.jpg,2025-12-14 16:12:13.187441,2026-01-19 16:12:13.195103
109,64,103,VIDEO,Cultural fest memories,campus.jpg,2025-10-04 16:12:13.187444,2026-01-22 16:12:13.195105
110,77,104,IMAGE,Hackathon highlights,placement.jpg,2025-11-15 16:12:13.187447,2026-01-19 16:12:13.195108
111,376,104,TEXT,Placement drive updates,workshop.jpg,2025-10-20 16:12:13.187449,2026-01-23 16:12:13.195111
112,178,101,TEXT,Placement drive updates,campus.jpg,2025-11-10 16:12:13.187452,2026-01-28 16:12:13.195113
113,267,102,IMAGE,Campus life moments,fest.jpg,2025-08-26 16:12:13.187454,2026-01-02 16:12:13.195115
114,295,101,TEXT,Hackathon highlights,campus.jpg,2025-08-04 16:12:13.187456,2026-01-06 16:12:13.195117
115,230,102,VIDEO,Campus life moments,campus.jpg,2026-01-13 16:12:13.187459,2026-01-23 16:12:13.195120
116,351,103,TEXT,Campus life moments,hackathon.jpg,2025-11-02 16:12:13.187461,2026-01-06 16:12:13.195122
117,147,102,VIDEO,Campus life moments,campus.jpg,2025-09-05 16:12:13.187464,2026-01-28 16:12:13.195126
118,185,104,VIDEO,Campus life moments,fest.jpg,2025-10-17 16:12:13.187466,2026-01-02 16:12:13.195128
119,83,103,VIDEO,Great learning experience,fest.jpg,2025-09-18 16:12:13.187468,2026-01-18 16:12:13.195130
120,344,103,TEXT,Placement drive updates,campus.jpg,2025-10-25 16:12:13.187471,2026-01-24 16:12:13.195132
121,348,103,TEXT,Great learning experience,workshop.jpg,2026-01-05 16:12:13.187473,2026-01-28 16:12:13.195135
122,332,101,VIDEO,Great learning experience,fest.jpg,2025-11-17 16:12:13.187476,2026-01-12 16:12:13.195137
123,487,104,IMAGE,Campus life moments,placement.jpg,2025-09-28 16:12:13.187478,2026-01-06 16:12:13.195140
124,326,103,TEXT,Hackathon highlights,,2025-12-29 16:12:13.187481,2026-01-08 16:12:13.195142
125,187,101,TEXT,Placement drive updates,campus.jpg,2025-08-08 16:12:13.187483,2026-01-26 16:12:13.195144
126,194,101,VIDEO,Placement drive updates,fest.jpg,2025-12-30 16:12:13.187486,2026-01-27 16:12:13.195146
127,398,103,VIDEO,Cultural fest memories,,2025-12-17 16:12:13.187488,2026-01-18 16:12:13.195149
128,276,102,IMAGE,Hackathon highlights,fest.jpg,2025-12-23 16:12:13.187490,2026-01-14 16:12:13.195151
129,478,103,IMAGE,Workshop on AI and Data Science,fest.jpg,2026-01-15 16:12:13.187496,2026-01-22 16:12:13.195153
130,374,103,TEXT,Hackathon highlights,workshop.jpg,2025-09-18 16:12:13.187499,2026-01-17 16:12:13.195156
131,416,102,IMAGE,Hackathon highlights,hackathon.jpg,2025-08-25 16:12:13.187502,2026-01-02 16:12:13.195159
132,101,104,VIDEO,Great learning experience,hackathon.jpg,2025-09-19 16:12:13.187504,2026-01-20 16:12:13.195161
133,226,101,TEXT,Campus life moments,placement.jpg,2025-12-11 16:12:13.187507,2026-01-29 16:12:13.195163
134,175,103,IMAGE,Hackathon highlights,fest.jpg,2026-01-09 16:12:13.187509,2026-01-22 16:12:13.195167
135,40,101,VIDEO,Hackathon highlights,workshop.jpg,2025-11-22 16:12:13.187511,2026-01-14 16:12:13.195169
136,63,104,IMAGE,Placement drive updates,campus.jpg,2025-09-12 16:12:13.187514,2026-01-27 16:12:13.195172
137,20,102,VIDEO,Hackathon highlights,,2026-01-18 16:12:13.187516,2026-01-04 16:12:13.195174
138,14,103,IMAGE,Great learning experience,fest.jpg,2025-11-03 16:12:13.187518,2026-01-19 16:12:13.195176
139,289,102,IMAGE,Cultural fest memories,hackathon.jpg,2025-11-23 16:12:13.187520,2026-01-16 16:12:13.195179
140,328,101,VIDEO,Cultural fest memories,campus.jpg,2025-12-21 16:12:13.187523,2026-01-29 16:12:13.195181
141,351,101,VIDEO,Hackathon highlights,campus.jpg,2026-01-23 16:12:13.187526,2026-01-03 16:12:13.195183
142,371,104,IMAGE,Cultural fest memories,campus.jpg,2025-10-29 16:12:13.187528,2026-01-08 16:12:13.195186
143,51,101,VIDEO,Workshop on AI and Data Science,placement.jpg,2026-01-20 16:12:13.187530,2026-01-14 16:12:13.195188
144,464,101,VIDEO,Workshop on AI and Data Science,placement.jpg,2025-12-11 16:12:13.187532,2026-01-16 16:12:13.195190
145,86,101,TEXT,Great learning experience,hackathon.jpg,2025-11-02 16:12:13.187535,2026-01-25 16:12:13.195192
146,488,103,TEXT,Workshop on AI and Data Science,fest.jpg,2025-11-06 16:12:13.187537,2026-01-28 16:12:13.195195
147,478,104,IMAGE,Placement drive updates,workshop.jpg,2025-11-20 16:12:13.187539,2026-01-09 16:12:13.195197
148,308,102,VIDEO,Hackathon highlights,placement.jpg,2025-11-12 16:12:13.187542,2026-01-11 16:12:13.195199
149,130,103,IMAGE,Placement drive updates,placement.jpg,2025-08-23 16:12:13.187544,2025-12-31 16:12:13.195201
150,78,104,VIDEO,Placement drive updates,fest.jpg,2025-11-15 16:12:13.187548,2026-01-01 16:12:13.195205
151,265,104,TEXT,Placement drive updates,hackathon.jpg,2025-09-10 16:12:13.187550,2026-01-08 16:12:13.195207
152,237,102,VIDEO,Hackathon highlights,campus.jpg,2025-11-10 16:12:13.187552,2026-01-15 16:12:13.195209
153,201,104,VIDEO,Hackathon highlights,fest.jpg,2026-01-24 16:12:13.187555,2026-01-09 16:12:13.195212
154,342,101,IMAGE,Placement drive updates,workshop.jpg,2025-08-15 16:12:13.187557,2026-01-04 16:12:13.195214
155,179,104,TEXT,Placement drive updates,campus.jpg,2025-09-10 16:12:13.187559,2026-01-11 16:12:13.195216
156,124,101,VIDEO,Hackathon highlights,workshop.jpg,2025-10-24 16:12:13.187562,2026-01-16 16:12:13.195218
157,118,101,TEXT,Great learning experience,campus.jpg,2025-10-05 16:12:13.187567,2026-01-29 16:12:13.195221
158,418,102,IMAGE,Hackathon highlights,campus.jpg,2026-01-25 16:12:13.187573,2026-01-17 16:12:13.195223
159,447,102,VIDEO,Campus life moments,campus.jpg,2025-10-07 16:12:13.187579,2026-01-20 16:12:13.195225
160,119,101,VIDEO,Campus life moments,fest.jpg,2025-10-02 16:12:13.187581,2026-01-09 16:12:13.195227
161,98,101,VIDEO,Cultural fest memories,hackathon.jpg,2025-10-22 16:12:13.187584,2026-01-15 16:12:13.195230
162,311,104,TEXT,Great learning experience,hackathon.jpg,2026-01-01 16:12:13.187586,2025-12-30 16:12:13.195232
163,150,101,IMAGE,Placement drive updates,placement.jpg,2025-12-14 16:12:13.187588,2026-01-12 16:12:13.195234
164,100,102,VIDEO,Great learning experience,fest.jpg,2026-01-08 16:12:13.187591,2026-01-28 16:12:13.195237
165,203,103,VIDEO,Campus life moments,hackathon.jpg,2026-01-27 16:12:13.187593,2026-01-29 16:12:13.195239
166,349,104,TEXT,Great learning experience,placement.jpg,2025-08-24 16:12:13.187595,2026-01-26 16:12:13.195241
167,30,101,VIDEO,Workshop on AI and Data Science,fest.jpg,2026-01-23 16:12:13.187598,2026-01-12 16:12:13.195243
168,90,104,IMAGE,Great learning experience,,2025-09-11 16:12:13.187600,2026-01-15 16:12:13.195246
169,481,101,TEXT,Hackathon highlights,workshop.jpg,2026-01-02 16:12:13.187602,2025-12-31 16:12:13.195248
170,330,104,IMAGE,Hackathon highlights,fest.jpg,2026-01-28 16:12:13.187605,2026-01-10 16:12:13.195250
171,481,101,TEXT,Great learning experience,,2025-12-30 16:12:13.187607,2026-01-02 16:12:13.195252
172,24,102,TEXT,Workshop on AI and Data Science,workshop.jpg,2025-10-01 16:12:13.187609,2026-01-02 16:12:13.195255
173,27,102,TEXT,Workshop on AI and Data Science,placement.jpg,2025-09-15 16:12:13.187612,2026-01-02 16:12:13.195257
174,95,104,TEXT,Placement drive updates,workshop.jpg,2025-11-05 16:12:13.187615,2026-01-27 16:12:13.195260
175,486,103,VIDEO,Great learning experience,workshop.jpg,2025-09-29 16:12:13.187617,2026-01-03 16:12:13.195262
176,440,104,VIDEO,Campus life moments,fest.jpg,2025-08-03 16:12:13.187620,2026-01-28 16:12:13.195265
177,20,104,IMAGE,Placement drive updates,hackathon.jpg,2026-01-17 16:12:13.187622,2026-01-12 16:12:13.195267
178,488,101,VIDEO,Workshop on AI and Data Science,campus.jpg,2025-10-02 16:12:13.187625,2026-01-07 16:12:13.195269
179,376,103,VIDEO,Campus life moments,placement.jpg,2026-01-10 16:12:13.187627,2026-01-18 16:12:13.195271
180,455,102,VIDEO,Campus life moments,hackathon.jpg,2025-08-02 16:12:13.187629,2025-12-31 16:12:13.195274
181,216,102,IMAGE,Placement drive updates,fest.jpg,2026-01-07 16:12:13.187631,2026-01-03 16:12:13.195276
182,483,103,TEXT,Placement drive updates,fest.jpg,2025-08-13 16:12:13.187634,2026-01-25 16:12:13.195278
183,476,102,IMAGE,Cultural fest memories,,2025-10-22 16:12:13.187636,2026-01-25 16:12:13.195281
184,312,103,VIDEO,Workshop on AI and Data Science,workshop.jpg,2025-08-23 16:12:13.187638,2026-01-18 16:12:13.195283
185,483,101,TEXT,Placement drive updates,campus.jpg,2025-09-05 16:12:13.187641,2026-01-28 16:12:13.195285
186,194,102,IMAGE,Cultural fest memories,,2025-12-18 16:12:13.187643,2026-01-14 16:12:13.195287
187,105,103,IMAGE,Hackathon highlights,hackathon.jpg,2025-10-04 16:12:13.187646,2026-01-21 16:12:13.195290
188,101,104,TEXT,Placement drive updates,hackathon.jpg,2025-08-22 16:12:13.187648,2025-12-30 16:12:13.195292
189,206,104,VIDEO,Placement drive updates,workshop.jpg,2025-12-10 16:12:13.187650,2026-01-16 16:12:13.195294
190,125,102,VIDEO,Hackathon highlights,fest.jpg,2025-09-06 16:12:13.187653,2026-01-26 16:12:13.195297
191,394,104,VIDEO,Campus life moments,fest.jpg,2025-12-05 16:12:13.187655,2026-01-13 16:12:13.195299
192,15,101,TEXT,Hackathon highlights,placement.jpg,2025-12-26 16:12:13.187657,2026-01-07 16:12:13.195301
193,5,101,IMAGE,Placement drive updates,fest.jpg,2025-11-26 16:12:13.187659,2026-01-24 16:12:13.195303
194,315,103,IMAGE,Hackathon highlights,,2025-10-06 16:12:13.187662,2025-12-31 16:12:13.195306
195,204,101,IMAGE,Workshop on AI and Data Science,,2025-08-31 16:12:13.187664,2026-01-26 16:12:13.195308
196,409,103,VIDEO,Cultural fest memories,,2026-01-06 16:12:13.187666,2026-01-12 16:12:13.195310
197,424,103,TEXT,Great learning experience,campus.jpg,2025-12-13 16:12:13.187669,2026-01-11 16:12:13.195313
198,353,104,IMAGE,Cultural fest memories,,2025-08-07 16:12:13.187671,2026-01-06 16:12:13.195315
199,43,102,IMAGE,Placement drive updates,,2025-11-04 16:12:13.187674,2026-01-04 16:12:13.195317
200,311,102,VIDEO,Great learning experience,,2025-09-17 16:12:13.187676,2025-12-30 16:12:13.195319
201,433,102,VIDEO,Workshop on AI and Data Science,hackathon.jpg,2025-12-05 16:12:13.187678,2026-01-21 16:12:13.195322
202,111,103,IMAGE,Placement drive updates,hackathon.jpg,2025-11-05 16:12:13.187681,2026-01-23 16:12:13.195325
203,106,102,VIDEO,Campus life moments,fest.jpg,2026-01-27 16:12:13.187684,2026-01-26 16:12:13.195327
204,340,102,VIDEO,Cultural fest memories,hackathon.jpg,2025-10-22 16:12:13.187687,2026-01-20 16:12:13.195329
205,208,103,IMAGE,Placement drive updates,,2025-09-23 16:12:13.187689,2025-12-31 16:12:13.195332
206,193,103,TEXT,Placement drive updates,placement.jpg,2025-11-07 16:12:13.187691,2026-01-02 16:12:13.195334
207,389,101,TEXT,Great learning experience,fest.jpg,2025-10-20 16:12:13.187694,2026-01-17 16:12:13.195336
208,398,104,IMAGE,Campus life moments,workshop.jpg,2025-12-09 16:12:13.187696,2026-01-14 16:12:13.195338
209,386,102,TEXT,Great learning experience,fest.jpg,2025-08-29 16:12:13.187699,2026-01-24 16:12:13.195341
210,177,103,TEXT,Placement drive updates,placement.jpg,2025-12-28 16:12:13.187701,2026-01-06 16:12:13.195343
211,183,103,VIDEO,Great learning experience,hackathon.jpg,2026-01-13 16:12:13.187704,2026-01-03 16:12:13.195346
212,164,102,VIDEO,Hackathon highlights,hackathon.jpg,2026-01-23 16:12:13.187707,2026-01-03 16:12:13.195348
213,62,104,IMAGE,Workshop on AI and Data Science,,2025-10-02 16:12:13.187709,2026-01-05 16:12:13.195350
214,139,101,TEXT,Great learning experience,campus.jpg,2025-10-06 16:12:13.187716,2026-01-12 16:12:13.195352
215,149,104,VIDEO,Great learning experience,placement.jpg,2025-12-11 16:12:13.187718,2026-01-01 16:12:13.195355
216,165,103,IMAGE,Great learning experience,placement.jpg,2025-11-29 16:12:13.187721,2025-12-31 16:12:13.195357
217,450,102,VIDEO,Cultural fest memories,fest.jpg,2025-09-30 16:12:13.187723,2026-01-10 16:12:13.195359
218,113,102,IMAGE,Workshop on AI and Data Science,,2025-08-24 16:12:13.187726,2026-01-23 16:12:13.195362
219,353,101,IMAGE,Campus life moments,placement.jpg,2025-10-27 16:12:13.187728,2026-01-01 16:12:13.195364
220,373,102,TEXT,Hackathon highlights,fest.jpg,2025-12-15 16:12:13.187730,2026-01-14 16:12:13.195366
221,126,104,IMAGE,Placement drive updates,workshop.jpg,2025-10-15 16:12:13.187732,2026-01-08 16:12:13.195368
222,18,103,IMAGE,Workshop on AI and Data Science,workshop.jpg,2025-09-03 16:12:13.187735,2026-01-19 16:12:13.195371
223,333,102,IMAGE,Cultural fest memories,fest.jpg,2025-10-21 16:12:13.187737,2026-01-12 16:12:13.195373
224,487,104,IMAGE,Great learning experience,hackathon.jpg,2025-11-07 16:12:13.187739,2026-01-06 16:12:13.195375
225,395,104,TEXT,Great learning experience,fest.jpg,2025-09-06 16:12:13.187742,2026-01-01 16:12:13.195377
226,244,104,IMAGE,Workshop on AI and Data Science,,2025-12-13 16:12:13.187744,2026-01-26 16:12:13.195380
227,222,101,VIDEO,Campus life moments,hackathon.jpg,2025-12-01 16:12:13.187746,2026-01-08 16:12:13.195382
228,312,103,TEXT,Placement drive updates,hackathon.jpg,2025-08-25 16:12:13.187749,2026-01-21 16:12:13.195384
229,366,101,VIDEO,Workshop on AI and Data Science,workshop.jpg,2025-10-10 16:12:13.187751,2026-01-24 16:12:13.195386
230,380,103,TEXT,Workshop on AI and Data Science,placement.jpg,2025-08-19 16:12:13.187753,2026-01-29 16:12:13.195389
231,159,101,IMAGE,Cultural fest memories,,2025-12-24 16:12:13.187756,2026-01-03 16:12:13.195391
232,315,102,VIDEO,Workshop on AI and Data Science,fest.jpg,2026-01-15 16:12:13.187759,2026-01-11 16:12:13.195393
233,2,103,VIDEO,Hackathon highlights,workshop.jpg,2026-01-12 16:12:13.187761,2026-01-13 16:12:13.195395
234,449,102,TEXT,Great learning experience,fest.jpg,2025-08-10 16:12:13.187765,2026-01-23 16:12:13.195398
235,492,104,IMAGE,Cultural fest memories,fest.jpg,2025-11-03 16:12:13.187767,2025-12-31 16:12:13.195401
236,250,101,TEXT,Cultural fest memories,placement.jpg,2026-01-27 16:12:13.187770,2026-01-14 16:12:13.195403
237,217,103,TEXT,Hackathon highlights,workshop.jpg,2026-01-14 16:12:13.187772,2026-01-25 16:12:13.195405
